trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.99004983374916811}",20,0,-99.1971208367975,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.98019867330675525}",30,0,-109.01175578421251,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.97044553354850815}",20,0,15.452808085570345,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.96078943915232318}",25,0,-35.846452961281884,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.95122942450071402}",20,0,-37.20581324404544,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.94176453358424872}",25,0,-0.4045676688928328,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.93239381990594827}",25,2,-58.090601847514804,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.8, 'e': 0.92311634638663576}",20,0,-89.7818265757442,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.91393118527122819}",20,0,-7.330769244217911,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.90483741803595952}",25,0,-29.51167124992991,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.89583413529652822}",30,0,-92.07356167939865,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.88692043671715748}",20,8,21.09143416463328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.8780954309205613}",20,0,13.032680792880596,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.86935823539880586}",25,0,-52.2856841683971,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.86070797642505781}",20,0,-108.22884145774442,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.85214378896621135}",25,0,12.91040393023669,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.8436648165963837}",30,0,18.679842595165887,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.835270211411272}",20,6,10.80971365032422,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.82695913394336229}",30,18,11.349469179480764,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.81873075307798182}",20,0,-27.713048331680117,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.81058424597018708}",25,12,10.818164742816913,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.80251879796247849}",30,7,-66.87141263995954,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
23,False,"{'a': 0.8, 'e': 0.79453360250333405}",25,0,-136.31630945829187,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 4}",0
24,False,"{'a': 0.8, 'e': 0.78662786106655347}",25,0,14.182291486618917,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.77880078307140488}",20,0,-3.9457046446186683,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.77105158580356625}",30,0,-23.761790748358194,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.76337949433685315}",25,0,-92.64403075568286,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.75578374145572547}",25,0,-28.06129622897515,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.8, 'e': 0.74826356757856527}",20,0,19.428348693603073,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.74081822068171788}",30,18,5.644128618068348,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.8, 'e': 0.73344695622428924}",20,0,-35.11258626538381,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.72614903707369094}",25,15,-43.446746039155805,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.8, 'e': 0.71892373343192617}",20,0,-56.276217186780336,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
34,False,"{'a': 0.8, 'e': 0.71177032276260965}",20,0,22.99358829523626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.70468808971871344}",25,7,28.829498051076474,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.69767632607103103}",25,0,35.76199761029389,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.69073433063735468}",25,8,20.725769813743682,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.8, 'e': 0.68386140921235583}",35,15,27.646276103990587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.67705687449816465}",20,0,-30.40629606843849,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
40,False,"{'a': 0.8, 'e': 0.67032004603563933}",25,0,-28.228546533439552,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.8, 'e': 0.6636502501363194}",20,0,26.72250375503242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.8, 'e': 0.65704681981505675}",25,2,-27.083149387904854,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.8, 'e': 0.65050909472331653}",20,0,7.012787646854076,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.64403642108314141}",30,20,18.320718774905085,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.63762815162177333}",20,0,1.1850435356828677,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.63128364550692595}",25,2,11.706167477688101,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.62500226828270078}",20,6,-1.798321720661445,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.61878339180614084}",25,20,6.188307960875834,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.61262639418441611}",25,0,24.414075216475098,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.60653065971263342}",25,0,24.294018741394016,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.6004955788122659}",20,7,20.529021605580756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.59452054797019438}",20,0,-14.785561169129785,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
53,False,"{'a': 0.8, 'e': 0.58860496967835518}",20,0,-56.03654521839068,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
54,False,"{'a': 0.8, 'e': 0.58274825237398964}",20,12,12.675374774635307,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.57694981038048665}",25,19,10.05734567467848,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.57120906384881487}",25,0,43.018083045682516,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.8, 'e': 0.56552543869953709}",25,15,5.777908516673259,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.55989836656540204}",25,0,-29.23733008327431,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.8, 'e': 0.5543272847345071}",20,0,-16.533586958024536,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
60,False,"{'a': 0.8, 'e': 0.5488116360940265}",20,2,-43.61019055786695,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.8, 'e': 0.54335086907449981}",20,8,12.887681473067685,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.53794443759467447}",20,0,-19.875111172667896,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
63,False,"{'a': 0.8, 'e': 0.53259180100689718}",20,4,-59.92854561551686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
64,False,"{'a': 0.8, 'e': 0.52729242404304855}",20,0,9.773796332361284,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.8, 'e': 0.52204577676101604}",25,5,13.387590076080565,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.51685133449169918}",20,0,24.520437398987504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.8, 'e': 0.51170857778654244}",20,6,-1.9145976256299218,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
