trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.79181678553238,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.89161197943116,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.93375247123754,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.1355990309509,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.2643766795461,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.42402921367446,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.51124503232904,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.2911755118032,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.15311600430104,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,9,-3.474423277658043,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.18193191880235,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.5975417922406,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.53591600174798,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.498795575281125,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.30346540616614,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.79212281798078,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-197.8064099324397,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,14,-27.27944609653747,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.791290108795982,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,3,-65.30057101937976,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.19051886480815,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-54.64048339242838,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,20,-26.14069145253777,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,5,-82.42612274863376,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",35,7,-121.47502829611875,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.06022178914466,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.16096470037116,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.32676170248178,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.4904603224555,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.94153940356659,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
